PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-1;2025-12-03 13:29:30.917549;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-1;2025-12-03 13:29:30.917549;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-1;2025-12-03 13:29:30.917549;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-2;2025-12-03 13:29:30.917549;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-2;2025-12-03 13:29:30.917549;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-2;2025-12-03 13:29:30.917549;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-3;2025-12-03 13:29:30.917549;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-3:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-3;2025-12-03 13:29:30.917549;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-3:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-northeast-3;2025-12-03 13:29:30.917549;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-3:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-south-1;2025-12-03 13:29:30.917549;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-south-1:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;046049643060;ap-south-1;2025-12-03 13:29:30.917549;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-south-1:046049643060:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding
