PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;1.0.3;Checks whether EBS volumes that are in an attached state are encrypted;EBS checks;;;ebs;;FAIL;EBS Default Encryption is not activated.;arn:aws:ec2:us-east-1:046049643060:volume;ec2_ebs_default_encryption;False;046049643060;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;1.0.3;Checks whether EBS volumes that are in an attached state are encrypted;EBS checks;;;ebs;;FAIL;EBS Snapshot vol-0a83e3bc1def5c5e6 is unencrypted.;arn:aws:ec2:us-east-1:046049643060:volume/vol-0a83e3bc1def5c5e6;ec2_ebs_volume_encryption;False;vol-0a83e3bc1def5c5e6;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;1.0.2;Checks whether EBS volumes are attached to EC2 instances;EBS checks;;;ebs;;FAIL;Snapshots not found for the EBS volume vol-0a83e3bc1def5c5e6.;arn:aws:ec2:us-east-1:046049643060:volume/vol-0a83e3bc1def5c5e6;ec2_ebs_volume_snapshots_exists;False;vol-0a83e3bc1def5c5e6;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;FAIL;Security group launch-wizard-7 (sg-058746a7962a8b1f5) has SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:046049643060:security-group/sg-058746a7962a8b1f5;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-058746a7962a8b1f5;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;2.0.1;Checks whether security groups that are in use disallow unrestricted incoming TCP traffic to the specified;Disallow Internet Connection;;;vpc;;PASS;Security group launch-wizard-7 (sg-058746a7962a8b1f5) does not have Microsoft RDP port 3389 open to the Internet.;arn:aws:ec2:us-east-1:046049643060:security-group/sg-058746a7962a8b1f5;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389;False;sg-058746a7962a8b1f5;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;3.0.3;Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::046049643060:mfa;iam_root_hardware_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;3.0.1;Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::046049643060:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;3.0.2;Checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::046049643060:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;3.0.3;Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::046049643060:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;046049643060;us-east-1;2025-12-03 13:29:30.917549;3.0.1;Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.;Multi-Factor Authentication;;;iam;;FAIL;User main@darshan does not have any type of MFA enabled.;arn:aws:iam::046049643060:user/main@darshan;iam_user_hardware_mfa_enabled;False;main@darshan;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails
