PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_TITLE;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_ATTRIBUTEDESCRIPTION;REQUIREMENTS_ATTRIBUTES_ADDITIONALINFORMATION;REQUIREMENTS_ATTRIBUTES_LEVELOFRISK;REQUIREMENTS_ATTRIBUTES_WEIGHT;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ap-northeast-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ap-northeast-2;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ap-northeast-3;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-northeast-3:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ap-south-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-south-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ap-southeast-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-southeast-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ap-southeast-2;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ap-southeast-2:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;ca-central-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:ca-central-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;eu-central-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:eu-central-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;eu-north-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:eu-north-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;046049643060;eu-west-1;2025-12-03 13:29:30.917549;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account 046049643060 is not enabled.;arn:aws:accessanalyzer:eu-west-1:046049643060:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
